server_id,user_id,被回收券数,回收笔数,首笔回收时间,末笔回收时间,系统折算钻石入账(>=20:54含7-03),应得钻石(券x100),补偿状态
1980,1782978,5,1,2026-07-02 20:54:37.629,2026-07-02 20:54:37.629,500,500,已足额折算
1980,1783016,6,1,2026-07-02 20:54:37.629,2026-07-02 20:54:37.629,600,600,已足额折算
1980,1783048,1,1,2026-07-02 21:00:04.568,2026-07-02 21:00:04.568,100,100,已足额折算
1980,1784847,2,1,2026-07-02 21:01:16.467,2026-07-02 21:01:16.467,200,200,已足额折算
1980,1785190,6,1,2026-07-02 21:01:16.467,2026-07-02 21:01:16.467,600,600,已足额折算
1980,1785675,6,1,2026-07-02 21:01:16.467,2026-07-02 21:01:16.467,600,600,已足额折算
1980,1786435,4,1,2026-07-02 21:01:16.467,2026-07-02 21:01:16.467,400,400,已足额折算
1980,1787780,6,1,2026-07-02 20:54:37.629,2026-07-02 20:54:37.629,600,600,已足额折算
1980,1788891,6,1,2026-07-02 20:54:37.629,2026-07-02 20:54:37.629,600,600,已足额折算
1980,1790360,6,1,2026-07-02 20:54:37.629,2026-07-02 20:54:37.629,600,600,已足额折算
1990,1794538,6,1,2026-07-02 20:54:37.620,2026-07-02 20:54:37.620,600,600,已足额折算
1990,1795442,6,1,2026-07-02 20:54:37.620,2026-07-02 20:54:37.620,600,600,已足额折算
1990,1795637,6,1,2026-07-02 21:01:16.490,2026-07-02 21:01:16.490,600,600,已足额折算
1990,1797560,1,1,2026-07-02 21:01:16.490,2026-07-02 21:01:16.490,100,100,已足额折算
1990,1797807,6,1,2026-07-02 20:54:37.620,2026-07-02 20:54:37.620,600,600,已足额折算
1990,1798487,6,1,2026-07-02 21:30:48.348,2026-07-02 21:30:48.348,600,600,已足额折算
1990,1798797,6,2,2026-07-02 20:54:37.620,2026-07-02 21:01:16.490,600,600,已足额折算
1990,1798927,6,1,2026-07-02 21:01:16.490,2026-07-02 21:01:16.490,600,600,已足额折算
1990,1799109,6,1,2026-07-02 20:54:37.620,2026-07-02 20:54:37.620,600,600,已足额折算
1990,1800623,6,1,2026-07-02 20:54:37.620,2026-07-02 20:54:37.620,600,600,已足额折算
1990,1800663,6,1,2026-07-02 20:54:37.620,2026-07-02 20:54:37.620,600,600,已足额折算
2000,1801888,3,1,2026-07-02 21:01:16.520,2026-07-02 21:01:16.520,300,300,已足额折算
2000,1802644,6,1,2026-07-02 20:54:37.628,2026-07-02 20:54:37.628,600,600,已足额折算
2000,1803694,4,1,2026-07-02 21:01:16.520,2026-07-02 21:01:16.520,400,400,已足额折算
2000,1812764,6,1,2026-07-02 20:54:37.628,2026-07-02 20:54:37.628,600,600,已足额折算
2000,1813383,6,1,2026-07-02 21:28:02.032,2026-07-02 21:28:02.032,600,600,已足额折算
2000,1821910,6,2,2026-07-02 20:54:37.628,2026-07-02 21:01:16.518,600,600,已足额折算
2000,1828124,4,1,2026-07-02 21:01:16.518,2026-07-02 21:01:16.518,400,400,已足额折算
2000,1898596,1,1,2026-07-02 21:01:16.520,2026-07-02 21:01:16.520,100,100,已足额折算
2010,1804373,6,1,2026-07-02 21:01:16.546,2026-07-02 21:01:16.546,600,600,已足额折算
2010,1805331,6,2,2026-07-02 20:54:37.620,2026-07-02 21:01:16.546,600,600,已足额折算
2010,1810899,6,1,2026-07-02 20:54:37.620,2026-07-02 20:54:37.620,600,600,已足额折算
2010,1811005,2,1,2026-07-02 21:01:16.546,2026-07-02 21:01:16.546,200,200,已足额折算
2010,1813582,6,1,2026-07-02 21:29:13.532,2026-07-02 21:29:13.532,600,600,已足额折算
2020,1819357,5,1,2026-07-02 21:01:16.570,2026-07-02 21:01:16.570,0,500,未见折算入账(可能邮件未领)
2020,1820494,3,1,2026-07-02 21:01:16.570,2026-07-02 21:01:16.570,300,300,已足额折算
2020,1825673,6,2,2026-07-02 20:54:47.839,2026-07-02 21:01:16.568,600,600,已足额折算
2020,1825763,6,1,2026-07-02 20:54:37.617,2026-07-02 20:54:37.617,600,600,已足额折算
2020,1827230,6,2,2026-07-02 20:54:37.617,2026-07-02 21:01:16.570,600,600,已足额折算
2020,1827776,6,1,2026-07-02 20:54:37.617,2026-07-02 20:54:37.617,600,600,已足额折算
2020,1830061,6,1,2026-07-02 21:01:16.568,2026-07-02 21:01:16.568,600,600,已足额折算
2020,1831826,6,1,2026-07-02 20:54:37.617,2026-07-02 20:54:37.617,600,600,已足额折算
2020,1832595,6,2,2026-07-02 20:54:37.617,2026-07-02 21:01:16.570,600,600,已足额折算
2020,1832767,4,1,2026-07-02 21:01:16.568,2026-07-02 21:01:16.568,400,400,已足额折算
2020,1837528,6,1,2026-07-02 21:01:16.568,2026-07-02 21:01:16.568,600,600,已足额折算
2020,1837822,6,1,2026-07-02 21:01:16.568,2026-07-02 21:01:16.568,600,600,已足额折算
2030,1818932,6,1,2026-07-02 20:54:37.620,2026-07-02 20:54:37.620,600,600,已足额折算
2030,1828465,6,1,2026-07-02 20:54:37.620,2026-07-02 20:54:37.620,600,600,已足额折算
2030,1829853,1,1,2026-07-02 20:54:37.620,2026-07-02 20:54:37.620,100,100,已足额折算
2030,1831071,6,1,2026-07-02 21:01:16.599,2026-07-02 21:01:16.599,600,600,已足额折算
2030,1834025,6,1,2026-07-02 20:54:37.620,2026-07-02 20:54:37.620,600,600,已足额折算
2030,2024948,6,1,2026-07-02 21:01:16.599,2026-07-02 21:01:16.599,600,600,已足额折算
2040,1838561,2,1,2026-07-02 21:01:16.626,2026-07-02 21:01:16.626,200,200,已足额折算
2040,1840331,6,1,2026-07-02 21:56:01.662,2026-07-02 21:56:01.662,600,600,已足额折算
2040,1840953,1,1,2026-07-02 21:01:16.626,2026-07-02 21:01:16.626,100,100,已足额折算
2040,1841889,5,1,2026-07-02 21:01:16.626,2026-07-02 21:01:16.626,500,500,已足额折算
2040,1842120,6,1,2026-07-02 21:01:16.623,2026-07-02 21:01:16.623,600,600,已足额折算
2040,1843649,6,1,2026-07-02 21:01:16.623,2026-07-02 21:01:16.623,600,600,已足额折算
2040,1843956,6,1,2026-07-02 21:01:16.626,2026-07-02 21:01:16.626,600,600,已足额折算
2040,1844202,6,1,2026-07-02 20:54:37.619,2026-07-02 20:54:37.619,600,600,已足额折算
2040,1851755,1,1,2026-07-02 21:01:16.623,2026-07-02 21:01:16.623,100,100,已足额折算
2040,1851843,6,1,2026-07-02 20:54:37.619,2026-07-02 20:54:37.619,600,600,已足额折算
2040,1853607,6,1,2026-07-02 21:01:16.623,2026-07-02 21:01:16.623,600,600,已足额折算
2040,1854208,6,1,2026-07-02 21:01:16.623,2026-07-02 21:01:16.623,600,600,已足额折算
2040,1854475,6,2,2026-07-02 20:54:37.619,2026-07-02 21:01:16.623,600,600,已足额折算
2040,1856151,6,1,2026-07-02 20:54:37.619,2026-07-02 20:54:37.619,600,600,已足额折算
2040,1856529,6,1,2026-07-02 21:01:16.626,2026-07-02 21:01:16.626,600,600,已足额折算
2040,1856658,2,1,2026-07-02 21:01:16.626,2026-07-02 21:01:16.626,200,200,已足额折算
2040,1857806,5,1,2026-07-02 21:01:16.623,2026-07-02 21:01:16.623,500,500,已足额折算
2050,1839099,6,1,2026-07-02 21:15:14.643,2026-07-02 21:15:14.643,600,600,已足额折算
2050,1839299,6,1,2026-07-02 20:54:37.615,2026-07-02 20:54:37.615,600,600,已足额折算
2050,1840854,6,1,2026-07-02 20:54:37.615,2026-07-02 20:54:37.615,600,600,已足额折算
2050,1840975,1,1,2026-07-02 21:01:16.647,2026-07-02 21:01:16.647,100,100,已足额折算
2050,1841107,6,2,2026-07-02 20:54:37.615,2026-07-02 21:01:16.646,600,600,已足额折算
2050,1842395,6,2,2026-07-02 20:54:37.615,2026-07-02 21:01:16.647,600,600,已足额折算
2050,1847311,6,1,2026-07-02 20:54:37.615,2026-07-02 20:54:37.615,600,600,已足额折算
2050,1848775,6,1,2026-07-02 21:01:16.646,2026-07-02 21:01:16.646,600,600,已足额折算
2050,1848973,6,2,2026-07-02 20:54:37.615,2026-07-02 21:01:16.647,600,600,已足额折算
2050,1849528,6,1,2026-07-02 20:54:37.615,2026-07-02 20:54:37.615,600,600,已足额折算
2050,1850486,6,1,2026-07-02 21:01:16.647,2026-07-02 21:01:16.647,600,600,已足额折算
2050,1852792,6,1,2026-07-02 20:54:37.615,2026-07-02 20:54:37.615,600,600,已足额折算
2050,1854785,6,1,2026-07-02 21:01:16.647,2026-07-02 21:01:16.647,600,600,已足额折算
2050,1856873,3,1,2026-07-02 21:01:16.647,2026-07-02 21:01:16.647,300,300,已足额折算
2050,1857300,4,1,2026-07-02 21:39:16.175,2026-07-02 21:39:16.175,400,400,已足额折算
2050,1858484,6,1,2026-07-02 21:39:17.483,2026-07-02 21:39:17.483,600,600,已足额折算
2050,1858651,2,1,2026-07-02 20:54:37.615,2026-07-02 20:54:37.615,200,200,已足额折算
2060,1858808,6,1,2026-07-02 20:54:37.619,2026-07-02 20:54:37.619,600,600,已足额折算
2060,1859846,6,2,2026-07-02 20:54:37.619,2026-07-02 21:01:16.662,600,600,已足额折算
2060,1860146,6,1,2026-07-02 20:54:37.619,2026-07-02 20:54:37.619,600,600,已足额折算
2060,1861005,1,1,2026-07-02 21:22:18.729,2026-07-02 21:22:18.729,100,100,已足额折算
2060,1861167,1,1,2026-07-02 21:01:16.662,2026-07-02 21:01:16.662,100,100,已足额折算
2060,1861446,6,1,2026-07-02 20:54:37.619,2026-07-02 20:54:37.619,600,600,已足额折算
2060,1863546,1,1,2026-07-02 21:01:16.662,2026-07-02 21:01:16.662,100,100,已足额折算
2060,1868195,6,2,2026-07-02 20:54:37.619,2026-07-02 21:01:16.662,600,600,已足额折算
2060,1868981,6,1,2026-07-02 22:28:15.593,2026-07-02 22:28:15.593,600,600,已足额折算
2060,1869244,1,1,2026-07-02 21:01:16.662,2026-07-02 21:01:16.662,100,100,已足额折算
2060,1871093,6,1,2026-07-02 20:54:37.619,2026-07-02 20:54:37.619,600,600,已足额折算
2060,1871954,4,1,2026-07-02 20:54:37.619,2026-07-02 20:54:37.619,400,400,已足额折算
2060,1872410,6,1,2026-07-02 20:54:37.619,2026-07-02 20:54:37.619,600,600,已足额折算
2060,1873217,6,1,2026-07-02 20:54:37.619,2026-07-02 20:54:37.619,600,600,已足额折算
2070,1860176,6,1,2026-07-02 20:54:37.617,2026-07-02 20:54:37.617,600,600,已足额折算
2070,1867814,6,2,2026-07-02 20:54:37.617,2026-07-02 21:01:16.683,600,600,已足额折算
2070,1868642,6,1,2026-07-02 20:54:37.617,2026-07-02 20:54:37.617,600,600,已足额折算
2070,1869536,6,1,2026-07-02 20:54:37.617,2026-07-02 20:54:37.617,600,600,已足额折算
2070,1873482,6,1,2026-07-02 21:01:16.683,2026-07-02 21:01:16.683,600,600,已足额折算
2070,1873552,4,1,2026-07-02 21:01:16.683,2026-07-02 21:01:16.683,400,400,已足额折算
2070,1874487,6,1,2026-07-02 20:54:37.617,2026-07-02 20:54:37.617,0,600,未见折算入账(可能邮件未领)
2070,1874859,1,1,2026-07-02 21:01:16.683,2026-07-02 21:01:16.683,100,100,已足额折算
2070,1876348,6,1,2026-07-02 20:54:37.617,2026-07-02 20:54:37.617,600,600,已足额折算
2080,1878428,4,1,2026-07-02 21:01:16.701,2026-07-02 21:01:16.701,400,400,已足额折算
2080,1879472,6,2,2026-07-02 20:54:37.621,2026-07-02 21:35:38.741,500,600,部分折算
2080,1879736,6,1,2026-07-02 20:54:37.621,2026-07-02 20:54:37.621,600,600,已足额折算
2080,1881346,6,1,2026-07-02 21:01:16.699,2026-07-02 21:01:16.699,600,600,已足额折算
2080,1883804,6,1,2026-07-02 21:01:16.699,2026-07-02 21:01:16.699,0,600,未见折算入账(可能邮件未领)
2080,1884555,6,2,2026-07-02 20:54:37.621,2026-07-02 21:01:16.699,600,600,已足额折算
2080,1888723,6,1,2026-07-02 21:01:16.699,2026-07-02 21:01:16.699,600,600,已足额折算
2080,1889037,6,1,2026-07-02 20:54:37.621,2026-07-02 20:54:37.621,600,600,已足额折算
2080,1891958,6,1,2026-07-02 21:01:16.699,2026-07-02 21:01:16.699,600,600,已足额折算
2080,1895316,6,1,2026-07-02 20:54:37.621,2026-07-02 20:54:37.621,600,600,已足额折算
2080,1896402,6,1,2026-07-02 22:02:52.753,2026-07-02 22:02:52.753,600,600,已足额折算
2080,1896853,1,1,2026-07-02 21:01:16.699,2026-07-02 21:01:16.699,100,100,已足额折算
2090,1877128,6,1,2026-07-02 20:54:37.615,2026-07-02 20:54:37.615,600,600,已足额折算
2090,1880951,6,1,2026-07-02 20:54:37.615,2026-07-02 20:54:37.615,600,600,已足额折算
2090,1883726,6,2,2026-07-02 20:54:37.615,2026-07-02 21:01:16.728,600,600,已足额折算
2090,1893789,6,1,2026-07-02 21:01:16.728,2026-07-02 21:01:16.728,600,600,已足额折算
2090,1897194,6,1,2026-07-02 21:01:16.728,2026-07-02 21:01:16.728,600,600,已足额折算
