server_id,user_id,fast_finish_count,diamonds_consumed,medals_received,cards_received,diamond_first,diamond_last,medal_first,medal_last
1750,1411317,23,23000,40,0,2026-07-31 10:52:30.811,2026-07-31 10:53:41.636,2026-07-31 10:52:53.516,2026-07-31 10:53:53.036
2000,1814708,23,23000,40,0,2026-07-31 05:32:15.876,2026-07-31 05:35:10.518,2026-07-31 05:34:17.213,2026-07-31 05:35:20.456
1650,1153394,22,22000,40,0,2026-07-31 06:08:22.843,2026-07-31 06:08:58.719,2026-07-31 06:09:35.640,2026-07-31 06:09:47.720
2160,1970780,22,22000,40,0,2026-07-31 02:07:15.116,2026-07-31 02:07:49.509,2026-07-31 02:08:33.199,2026-07-31 02:08:47.921
1270,210410,21,21000,70,1,2026-07-31 07:46:43.778,2026-07-31 07:48:19.205,2026-07-31 07:47:23.472,2026-07-31 07:49:08.110
2050,1848026,21,21000,70,1,2026-07-31 03:09:20.686,2026-07-31 03:10:36.235,2026-07-31 03:09:31.311,2026-07-31 03:11:54.189
2160,1954877,21,21000,40,0,2026-07-31 07:39:34.341,2026-07-31 07:40:26.749,2026-07-31 07:39:42.824,2026-07-31 07:40:44.309
2440,2299481,21,21000,70,1,2026-07-31 01:05:25.432,2026-07-31 01:08:41.850,2026-07-31 01:06:00.731,2026-07-31 01:10:01.444
2500,2397251,21,21000,70,1,2026-07-31 02:52:03.433,2026-07-31 02:53:35.789,2026-07-31 02:52:21.023,2026-07-31 02:54:07.263
1510,775130,20,20000,40,0,2026-07-31 09:32:37.819,2026-07-31 09:34:01.071,2026-07-31 09:34:42.545,2026-07-31 09:34:55.531
1920,1709971,20,20000,70,1,2026-07-30 20:52:58.288,2026-07-30 20:54:04.628,2026-07-30 20:53:28.439,2026-07-30 20:54:46.048
1950,1758795,20,20000,40,0,2026-07-31 10:29:07.162,2026-07-31 10:29:55.296,2026-07-31 10:29:18.542,2026-07-31 10:30:35.683
2000,1806502,20,20000,70,1,2026-07-31 05:06:41.529,2026-07-31 05:07:29.682,2026-07-31 05:07:00.512,2026-07-31 05:08:20.640
