server_id,user_id,fast_finish_count,diamonds_consumed,medals_received,cards_received,diamond_first,diamond_last,medal_first,medal_last
2440,2299481,21,21000,70,1,2026-07-31 01:05:25.432,2026-07-31 01:08:41.850,2026-07-31 01:06:00.731,2026-07-31 01:10:01.444
2500,2397251,21,21000,70,1,2026-07-31 02:52:03.433,2026-07-31 02:53:35.789,2026-07-31 02:52:21.023,2026-07-31 02:54:07.263
2520,2440625,20,20000,25,0,2026-07-31 02:21:09.208,2026-07-31 02:26:19.220,2026-07-31 02:22:53.144,2026-07-31 02:26:21.040
2430,2258053,18,18000,70,1,2026-07-31 00:48:00.223,2026-07-31 00:50:52.863,2026-07-31 00:48:42.643,2026-07-31 00:51:18.222
2590,2527331,18,18000,40,0,2026-07-31 01:51:00.304,2026-07-31 01:52:18.577,2026-07-31 01:51:31.710,2026-07-31 01:53:01.782
2400,2227478,17,17000,70,1,2026-07-31 08:26:01.627,2026-07-31 08:27:30.652,2026-07-31 08:28:32.491,2026-07-31 08:29:07.211
2360,2179170,16,16000,5,0,2026-07-31 09:06:58.975,2026-07-31 09:08:08.109,2026-07-31 09:07:11.556,2026-07-31 09:07:11.556
2460,2319723,16,16000,70,1,2026-07-31 01:11:19.612,2026-07-31 01:54:58.981,2026-07-31 01:11:22.231,2026-07-31 01:55:31.732
2520,2421627,16,16000,70,1,2026-07-31 01:56:29.877,2026-07-31 02:04:08.565,2026-07-31 01:56:59.770,2026-07-31 02:04:24.784
2320,2128101,15,15000,70,1,2026-07-31 00:04:02.075,2026-07-31 00:05:04.125,2026-07-31 00:05:08.087,2026-07-31 00:05:46.759
2390,2211583,15,15000,70,1,2026-07-31 04:04:21.942,2026-07-31 04:05:07.069,2026-07-31 04:07:31.235,2026-07-31 04:07:53.868
2530,2419137,15,15000,70,1,2026-07-31 09:31:04.283,2026-07-31 09:43:49.381,2026-07-31 09:42:28.258,2026-07-31 09:46:35.979
2560,2488786,15,15000,70,1,2026-07-30 22:53:04.354,2026-07-30 22:56:23.139,2026-07-30 22:53:10.885,2026-07-30 22:56:34.550
2500,2413510,14,14000,70,1,2026-07-31 06:17:06.833,2026-07-31 06:24:57.392,2026-07-31 06:24:58.933,2026-07-31 06:25:22.321
2570,2487870,14,14000,70,1,2026-07-31 11:26:04.638,2026-07-31 11:31:54.361,2026-07-31 11:26:23.584,2026-07-31 11:35:30.816
2370,2181603,13,13000,70,1,2026-07-31 10:23:18.757,2026-07-31 10:25:34.012,2026-07-31 10:24:10.168,2026-07-31 10:25:51.234
2390,2195553,13,13000,10,0,2026-07-31 08:49:03.151,2026-07-31 09:20:46.581,2026-07-31 08:49:44.746,2026-07-31 09:20:50.346
2470,2331278,13,13000,15,0,2026-07-30 22:28:48.960,2026-07-30 22:35:40.272,2026-07-30 22:31:44.033,2026-07-30 22:35:28.644
2490,2380766,13,13000,70,1,2026-07-30 19:39:13.713,2026-07-30 23:20:21.152,2026-07-30 19:39:17.516,2026-07-30 23:20:54.438
2540,2450725,13,13000,40,0,2026-07-31 11:38:20.107,2026-07-31 11:39:02.650,2026-07-31 11:33:46.127,2026-07-31 11:39:30.226
2540,2456072,13,13000,70,1,2026-07-31 02:19:28.911,2026-07-31 02:20:55.762,2026-07-31 02:19:40.103,2026-07-31 02:21:44.476
2600,2534464,13,13000,20,0,2026-07-31 08:50:39.092,2026-07-31 08:52:04.953,2026-07-31 08:51:21.027,2026-07-31 08:52:06.393
2450,2296868,12,12000,70,1,2026-07-31 10:52:38.523,2026-07-31 11:09:08.553,2026-07-31 10:52:42.167,2026-07-31 11:09:20.954
2330,2126386,11,11000,25,0,2026-07-30 23:04:05.441,2026-07-31 06:17:44.734,2026-07-30 23:04:21.940,2026-07-31 06:17:50.757
2350,2156539,11,11000,30,0,2026-07-31 05:51:06.620,2026-07-31 05:55:18.876,2026-07-31 05:51:16.906,2026-07-31 05:55:21.956
2450,2297124,11,11000,20,0,2026-07-31 09:28:58.479,2026-07-31 09:58:53.345,2026-07-31 09:29:01.762,2026-07-31 09:58:44.063
2440,2289719,10,10000,15,0,2026-07-31 11:34:01.267,2026-07-31 11:47:00.573,2026-07-31 11:46:10.664,2026-07-31 11:47:11.008
2570,2488641,10,10000,25,0,2026-07-31 00:55:36.131,2026-07-31 11:33:11.641,2026-07-31 00:55:48.289,2026-07-31 11:33:14.724
2500,2416941,9,9000,70,1,2026-07-31 06:24:09.473,2026-07-31 07:04:01.379,2026-07-31 06:24:36.776,2026-07-31 07:04:12.905
2560,2474895,9,9000,15,0,2026-07-31 03:25:22.832,2026-07-31 03:26:25.853,2026-07-31 03:25:37.176,2026-07-31 03:26:27.573
2310,2107891,8,8000,15,0,2026-07-31 07:37:12.167,2026-07-31 07:38:16.675,2026-07-31 07:37:26.793,2026-07-31 07:38:24.517
2420,2262975,8,8000,10,0,2026-07-31 07:27:05.099,2026-07-31 08:46:17.025,2026-07-31 07:45:33.198,2026-07-31 08:34:36.861
2450,2314381,8,8000,15,0,2026-07-31 08:51:45.036,2026-07-31 09:25:05.035,2026-07-31 08:51:58.239,2026-07-31 09:25:18.969
2320,2128690,7,7000,5,0,2026-07-31 10:53:45.911,2026-07-31 10:54:33.486,2026-07-31 10:54:23.082,2026-07-31 10:54:23.082
2340,2155538,7,7000,70,1,2026-07-31 09:07:45.458,2026-07-31 09:45:43.444,2026-07-31 09:08:01.986,2026-07-31 09:46:00.714
2380,2190033,7,7000,15,0,2026-07-31 08:41:33.544,2026-07-31 09:36:57.232,2026-07-31 08:42:01.500,2026-07-31 09:37:01.035
2410,2221811,7,7000,20,0,2026-07-31 09:19:53.901,2026-07-31 09:20:56.362,2026-07-31 09:19:12.981,2026-07-31 09:20:26.389
2420,2272281,7,7000,5,0,2026-07-31 07:04:01.991,2026-07-31 07:24:22.648,2026-07-31 07:04:05.770,2026-07-31 07:04:05.770
2480,2364561,7,7000,35,0,2026-07-31 07:43:38.091,2026-07-31 08:19:16.747,2026-07-31 07:43:41.633,2026-07-31 08:19:20.207
2300,2093393,6,6000,5,0,2026-07-31 05:03:12.130,2026-07-31 05:03:36.761,2026-07-31 05:03:44.705,2026-07-31 05:03:44.705
2370,2165488,6,6000,15,0,2026-07-31 03:01:23.597,2026-07-31 03:02:04.484,2026-07-31 03:01:36.960,2026-07-31 03:02:11.583
2460,2325618,6,6000,10,0,2026-07-31 02:28:38.738,2026-07-31 02:29:19.839,2026-07-31 02:28:49.254,2026-07-31 02:29:23.098
2470,2325183,6,6000,10,0,2026-07-31 08:20:14.821,2026-07-31 08:20:45.140,2026-07-31 08:20:30.936,2026-07-31 08:20:51.146
2560,2488135,6,6000,20,0,2026-07-31 03:51:23.708,2026-07-31 03:51:45.799,2026-07-31 03:45:10.883,2026-07-31 03:56:16.902
2590,2528586,6,6000,20,0,2026-07-31 06:19:01.068,2026-07-31 10:22:18.389,2026-07-31 06:24:17.372,2026-07-31 10:22:22.087
2300,2095200,5,5000,10,0,2026-07-30 23:33:44.290,2026-07-30 23:34:07.646,2026-07-30 23:33:56.418,2026-07-30 23:34:09.085
2380,2195074,5,5000,15,0,2026-07-31 03:04:01.433,2026-07-31 05:23:00.067,2026-07-31 03:04:05.733,2026-07-31 05:23:03.933
2450,2288772,5,5000,20,0,2026-07-31 04:00:04.588,2026-07-31 09:19:06.541,2026-07-31 04:00:16.555,2026-07-31 09:19:10.089
2500,2400458,5,5000,10,0,2026-07-30 22:24:10.740,2026-07-30 23:29:28.300,2026-07-30 22:24:22.657,2026-07-30 23:29:31.621
