R1 (len=7): ['卡组主题描述', '卡组主题图', '卡片序号', '卡片名称', 'AI出图', '', '复活节卡包-']
R2 (len=7): ['彩蛋节泛用主题1', '', '1', '满筐快乐', '', '151104889', '复活节卡包-满筐快乐']
R3 (len=7): ['', '', '2', '精心绘制', '', '151104890', '复活节卡包-精心绘制']
R4 (len=7): ['', '', '3', '变身萌兔', '', '151104891', '复活节卡包-变身萌兔']
R5 (len=7): ['', '', '4', '“滚蛋”大赛', '', '151104892', '复活节卡包-“滚蛋”大赛']
R6 (len=7): ['', '', '5', '春日野餐', '', '151104893', '复活节卡包-春日野餐']
R7 (len=7): ['', '', '6', '寻宝归来', '', '151104894', '复活节卡包-寻宝归来']
R8 (len=7): ['', '', '7', '天降惊喜', '', '151104895', '复活节卡包-天降惊喜']
R9 (len=7): ['', '', '8', '糖果海洋', '', '151104896', '复活节卡包-糖果海洋']
R10 (len=7): ['', '', '9', '抱得头彩', '', '151104897', '复活节卡包-抱得头彩']
R11 (len=7): ['彩蛋节泛用主题2', '', '1', '寻蛋猎手', '', '151104898', '复活节卡包-寻蛋猎手']
R12 (len=7): ['', '', '2', '彩蛋画家', '', '151104899', '复活节卡包-彩蛋画家']
R13 (len=7): ['', '', '3', '友好赠礼', '', '151104900', '复活节卡包-友好赠礼']
R14 (len=7): ['', '', '4', '匠心独创', '', '151104901', '复活节卡包-匠心独创']
R15 (len=7): ['', '', '5', '举杯同庆', '', '151104902', '复活节卡包-举杯同庆']
