('娲诲姩', '涓婄嚎娆℃暟', '姊槦', '绛夌骇', '缁煎悎寰楀垎', '浠樿垂娣卞害寰楀垎', '杞寲骞垮害寰楀垎', '缁煎悎鍙樼幇寰楀垎', 'R绾у仴搴峰害寰楀垎', 'ARPPU', '浠樿垂鐜?, '浠樿垂ARPU', '瓒匯鏀跺叆鍗犳瘮', '鍗曟骞冲潎浠樿垂棰?, '绱鎬讳粯璐归', '鎶曟斁鍐呭', '鍘熷娲诲姩')
('鎸栧瓟灏忔父鎴?, 2, 'T1', 'S', 89, 90, 90, 80, 100, 77.5395, 12.99, 10.1025, 67.26845726107089, 144049, 288098, '寰€鏈熶富鍩庣壒鏁?, '鎸栧瓟灏忔父鎴?绗?鏈? 鎸栧瓟灏忔父鎴?绗?鏈?)
('寮傛棌澶у瘜缈?, 1, 'T1', 'S', 89, 100, 90, 90, 40, 164.53, 12.1, 19.908, 87.43885295796812, 273612.99, 273612.99, '琛屽啗鐗规晥濂楄', '寮傛棌澶у瘜缈?)
('寮圭彔鎶藉', 3, 'T1', 'S', 87.5, 100, 70, 90, 85, 161.1776666666667, 9.386666666666665, 15.86066666666667, 73.97610376805729, 243688.35, 731065.05, '鑺傛棩濂楄鐨偆锛堟渶楂樼骇锛?, '寮圭彔鎶藉-绗?鏈? 寮圭彔绗簩鏈?涓囧湥鑺傝繑鍦虹増鏈? 寮圭彔鎶藉绗?鏈?鍦ｈ癁鑺?)
('琛屽啗濂楄', 1, 'T1', 'S', 85.5, 100, 70, 80, 85, 142.345, 9.42, 13.403, 74.18704058938737, 208677.7, 208677.7, '鑺傛棩琛屽啗鐨偆濂楄锛堣鍐涚毊鑲ゆ渶楂樼骇锛?, '琛屽啗濂楄绗竴鏈燂紙BP鎺掕姒滐級-鍛ㄥ勾搴?)
('鍛ㄥ勾搴嗙毊鑲ゅ鍦堝唴鍦堟娊濂?, 1, 'T1', 'A', 84, 100, 70, 80, 70, 160.145, 9.09, 14.564, 77.59852393251683, 226764.7, 226764.7, '鑺傛棩濂楄鐨偆缁勪欢锛堟渶楂樼骇锛?, '鍛ㄥ勾搴嗙毊鑲ゅ鍦堝唴鍦堟娊濂?)
('澶у瘜缈佺毊鑲acha', 1, 'T1', 'A', 84, 90, 80, 70, 100, 72.383, 10.32, 7.468, 67.78762084512377, 102639.64, 102639.64, '鏂颁富鍩庣毊鑲?, '澶у瘜缈佺毊鑲acha')
('楂樼骇琛屽啗鐗规晥', 1, 'T2', 'A', 78, 80, 80, 60, 100, 57.034, 10.44, 5.955, 66.30634384513193, 122395.8, 122395.8, '鑺傛棩琛屽啗鐨偆濂楄锛堣鍐涚毊鑲ゆ楂樼骇锛?, '楂樼骇琛屽啗鐗规晥-澶嶆椿鑺?)
('閽撻奔', 1, 'T2', 'A', 75, 80, 80, 60, 70, 63.52, 10.26, 6.517, 75.33139801033909, 89563, 89563, '鐙珛鐜╂硶涓诲煄鐨偆', '閽撻奔')
('鏂楀＋鐨偆', 1, 'T2', 'B', 73, 90, 55, 60, 85, 85.035, 6.76, 5.746, 72.87172715724492, 84184.46, 84184.46, '鏂楀＋鐨偆', '鏂楀＋鐨偆-绗?鏈?)
('MJ8', 1, 'T2', 'B', 67.5, 80, 70, 45, 55, 51.543, 9.35, 4.819, 80.50049265962822, 66232.34, 66232.34, '鐙珛鐜╂硶琛屽啗鐗规晥', 'MJ8-绗竴鏈?)
('鎶㈣喘绀煎寘', 1, 'T2', 'B', 67.5, 80, 55, 45, 100, 58.668, 7.59, 4.454, 61.97645854288114, 69345.75, 69345.75, '鍏绘垚绾?鑺傛棩閬撳叿', '鎶㈣喘绀煎寘-鍛ㄥ勾搴?)
('鐮嶄环', 2, 'T2', 'B', 67, 60, 90, 45, 70, 30.5025, 14.225, 4.345, 54.33897903223063, 79671.565, 159343.13, '鍏绘垚绾?鑺傛棩閬撳叿', '鐮嶄环-绗?鏈? 鐮嶄环-绗?鏈?)
('棰勮喘绀煎寘', 1, 'T2', 'B', 66.5, 100, 40, 45, 55, 100.255, 4.859999999999999, 4.868, 49.34036939313985, 75792.42, 75792.42, '鍏绘垚绾?鑺傛棩閬撳叿', '棰勮喘绀煎寘')
