210601 | 免费礼包 | Free Pack | 0 | 节日活动 | 节日活动-节日资源包 | 节日活动-节日资源包-链式套装 | 节日礼包 | false |  |  | 1128 |  | 0
210602 | 尼罗之辉礼包2 | Radiance of the Nile Value Pack 2 | 4.99 | 节日活动 | 节日活动-节日资源包 | 节日活动-节日资源包-链式套装 | 节日礼包 | false |  |  | 1128,1002,2022 |  | 0
210603 | 免费礼包 | Free Pack | 0 | 节日活动 | 节日活动-节日资源包 | 节日活动-节日资源包-链式套装 | 节日礼包 | false |  |  | 1128 |  | 0
210604 | 尼罗之辉礼包3 | Radiance of the Nile Value Pack 3 | 9.99 | 节日活动 | 节日活动-节日资源包 | 节日活动-节日资源包-链式套装 | 节日礼包 | false |  |  | 1128,1002,2022 |  | 0
210605 | 免费礼包 | Free Pack | 0 | 节日活动 | 节日活动-节日资源包 | 节日活动-节日资源包-链式套装 | 节日礼包 | false |  |  | 1128 |  | 0
210606 | 尼罗之辉礼包4 | Radiance of the Nile Value Pack 4 | 19.99 | 节日活动 | 节日活动-节日资源包 | 节日活动-节日资源包-链式套装 | 节日礼包 | false |  |  | 1128,1002,2022 |  | 0
210607 | 免费礼包 | Free Pack | 0 | 节日活动 | 节日活动-节日资源包 | 节日活动-节日资源包-链式套装 | 节日礼包 | false |  |  | 1128 |  | 0
210608 | 尼罗之辉礼包5 | Radiance of the Nile Value Pack 5 | 49.99 | 节日活动 | 节日活动-节日资源包 | 节日活动-节日资源包-链式套装 | 节日礼包 | false |  |  | 1128,1002,2022 |  | 0
210609 | 免费礼包 | Free Pack | 0 | 节日活动 | 节日活动-节日资源包 | 节日活动-节日资源包-链式套装 | 节日礼包 | false |  |  | 1128 |  | 0
210610 | 尼罗之辉礼包6 | Radiance of the Nile Value Pack 6 | 99.99 | 节日活动 | 节日活动-节日资源包 | 节日活动-节日资源包-链式套装 | 节日礼包 | false |  |  | 1128,1002,2022 |  | 0
210611 | 免费礼包 | Free Pack | 0 | 节日活动 | 节日活动-节日资源包 | 节日活动-节日资源包-链式套装 | 节日礼包 | false |  |  | 1128 |  | 0
210612 | 女王恩典卷  | Queen’s Grace Scroll | 4.99 | 节日活动 | 节日活动-节日资源包 | 节日活动-节日资源包-道具弹窗 | 节日礼包 | false |  |  | 1128,1002,2022 |  | 0
210613 | 女王恩典卷  | Queen’s Grace Scroll | 19.99 | 节日活动 | 节日活动-节日资源包 | 节日活动-节日资源包-道具弹窗 | 节日礼包 | false |  |  | 1128,1002,2022 |  | 0
